id,TCGDATE
100000208,
100000156,1/24/2012
100000155,
100000154,2/16/2010
100000153,2/16/2010
100000152,2/16/2010
100000151,1/24/2012
100000150,
100000133,
100000130,
100000077,
99995595,10/9/2008
99916754,
99899504,5/19/2009
99877698,7/18/2003
99865167,1/26/2008
99861526,7/25/2007
99789342,
99788587,4/11/2006
99785935,2/18/2003
99747800,1/26/2008
99735427,11/14/2007
99724761,10/10/2003
99721536,1/10/2002
99690140,7/18/2003
99675356,1/3/2007
99659159,
99657399,8/16/2011
99597615,9/16/2002
99594764,
99590524,10/18/2008
99551425,6/27/2002
99532708,4/11/2006
99523325,2/16/2010
99518961,
99517131,10/10/2003
99510761,
99426834,1/11/2004
99414168,1/6/2005
99365553,
99351431,6/6/2003
99348756,1/25/2013
99342953,
99284890,1/6/2004
99267150,10/20/2006
99261403,11/17/2009
99214782,
99212922,1/24/2012
99189322,7/5/2008
99188141,1/24/2012
99177923,
99173029,6/6/2003
99171160,1/6/2004
99150062,
99075257,5/13/2006
99070951,10/5/2011
99064191,8/5/2012
99050989,1/3/2004
99030164,6/2/2007
99013397,11/14/2007
99004752,8/5/2012
99002135,12/5/2009
99000151,
98956134,7/5/2008
98954375,11/5/2010
98927491,5/8/2006
98891840,11/14/2007
98884569,10/5/2011
98867329,8/17/2010
98865920,8/16/2011
98847704,1/9/2009
98818516,8/3/2002
98792570,1/6/2005
98777036,
98745000,7/18/2003
98719226,5/8/2006
98666339,4/11/2006
98649372,8/16/2011
98645731,8/17/2010
98585345,6/8/2005
98558751,10/5/2011
98555327,
98502115,10/10/2003
98502114,10/10/2003
98502113,10/10/2003
98495314,6/27/2002
98494543,6/2/2007
98456117,1/3/2003
98446407,1/3/2005
98444741,4/11/2006
98437424,
98434877,6/27/2002
98427577,5/8/2008
98380593,12/5/2009
98374133,3/29/2002
98358303,10/5/2011
98336111,1/3/2007
98299011,10/20/2002
98273947,10/9/2008
98266377,
98259197,11/30/2005
98252586,8/3/2002
98239899,6/6/2003
98225108,1/25/2013
98162242,1/6/2004
98162021,8/2/2011
98147766,1/9/2009
98143165,5/8/2008
98139712,10/20/2002
98126725,10/5/2011
98069388,6/27/2002
98049915,6/27/2002
98049038,11/14/2007
98045062,1/6/2004
98024118,1/9/2009
97997309,9/11/2012
97970833,5/16/2007
97940434,8/2/2011
97923414,7/18/2003
97922283,8/17/2010
97904474,10/9/2008
97896503,
97885363,11/16/2010
97836203,10/5/2011
97811903,11/17/2009
97809599,2/20/2004
97806240,1/3/2005
97783659,8/2/2011
97705809,7/25/2007
97697678,5/8/2006
97697447,9/11/2012
97687912,10/20/2002
97651498,
97642679,1/12/2003
97623219,1/3/2005
97617181,
97590748,3/29/2002
97590747,3/29/2002
97574404,7/5/2008
97570038,1/6/2005
97526666,9/11/2012
97489701,11/16/2010
97452817,7/5/2008
97439806,
97439308,1/3/2004
97433739,
97385276,12/5/2009
97362768,6/8/2005
97360116,3/29/2002
97342942,1/10/2004
97268402,8/17/2010
97240270,6/8/2005
97234686,7/5/2008
97170107,8/5/2012
97169186,1/3/2004
97168905,12/5/2009
97151365,10/9/2008
97127906,8/15/2007
97093037,1/11/2004
97077563,10/20/2002
97023549,11/30/2005
97021916,10/9/2008
97017120,1/10/2003
97000273,10/5/2011
96981563,9/16/2002
96967123,1/10/2002
96965364,10/20/2002
96947648,1/3/2004
96930127,11/16/2010
96914272,8/17/2010
96907086,11/17/2009
96890582,9/16/2002
96875080,5/8/2006
96872283,10/27/2009
96864811,9/11/2012
96851799,8/3/2002
96782886,10/9/2008
96765646,11/14/2007
96729612,11/17/2009
96704018,9/11/2012
96700602,8/17/2010
96682430,9/11/2012
96653775,11/16/2010
96631852,1/6/2005
96594609,
96565487,
96561011,1/1/2005
96553688,12/5/2009
96501677,1/3/2005
96474800,9/11/2012
96458440,1/6/2005
96457619,8/16/2011
96428622,6/8/2005
96427353,1/24/2012
96420087,1/12/2003
96384007,2/23/2010
96383838,11/15/2011
96381979,1/25/2013
96363153,11/16/2010
96355986,10/20/2002
96331676,5/16/2007
96316857,1/3/2004
96300057,11/30/2005
96287685,10/5/2011
96216229,10/9/2008
96182448,10/9/2008
96148285,5/16/2007
96099959,
96051150,1/25/2013
96029574,11/17/2009
96012004,7/5/2008
96008713,4/28/2006
96005454,8/15/2007
95992081,8/16/2011
95956346,9/16/2002
95952802,8/3/2002
95943058,11/14/2007
95920682,9/11/2012
95905259,1/24/2012
95888876,8/15/2007
95841282,10/10/2003
95789089,1/3/2005
95788410,11/15/2011
95784434,11/17/2009
95772051,9/11/2012
95750695,10/27/2009
95744531,9/16/2002
95727991,6/27/2002
95714077,8/16/2011
95701283,5/13/2006
95642274,9/11/2012
95638658,1/12/2003
95637655,
95621257,
95614612,1/3/2004
95600067,5/16/2007
95561280,11/15/2011
95526884,
95519486,1/3/2007
95515060,1/12/2003
95507060,11/17/2009
95492061,1/3/2004
95472621,1/3/2004
95466842,9/11/2012
95453143,
95451366,10/10/2003
95448692,11/15/2011
95443805,
95395761,1/24/2012
95362816,
95360850,10/9/2008
95352218,9/11/2012
95326659,5/16/2007
95308449,1/12/2003
95291684,8/17/2010
95288024,1/10/2002
95286165,1/3/2003
95281259,6/6/2003
95231062,8/16/2011
95220856,1/3/2003
95214051,1/3/2004
95204084,1/9/2009
95194279,1/3/2004
95178994,9/16/2002
95174353,9/16/2002
95169481,1/25/2013
95166228,8/15/2007
95144193,1/7/2002
95132338,2/20/2004
95096437,5/16/2007
95090813,12/5/2009
95084054,8/17/2010
95051344,9/16/2002
95027497,1/24/2012
95026693,5/16/2007
94944637,8/15/2007
94940436,1/4/2006
94905343,6/27/2002
94886282,10/9/2008
94878265,
94853057,5/13/2006
94845226,11/16/2010
94820406,11/14/2007
94804055,5/16/2007
94793422,1/12/2003
94773007,6/27/2002
94766498,
94739788,10/10/2003
94716515,
94689635,5/13/2006
94681654,
94675535,8/3/2002
94667532,1/3/2005
94664694,10/18/2008
94662235,11/17/2009
94656263,11/15/2011
94634433,10/18/2008
94626050,11/15/2011
94622638,
94585852,1/12/2003
94573223,1/24/2012
94568601,6/6/2003
94566432,12/26/2006
94538053,11/17/2009
94515289,
94484482,11/17/2009
94463200,1/12/2003
94425169,6/6/2003
94377247,1/3/2003
94374859,5/16/2007
94331452,8/2/2011
94303232,
94283662,1/24/2012
94256039,1/3/2004
94253609,5/13/2006
94243005,
94230224,8/2/2011
94215860,8/2/2011
94212438,1/3/2003
94203886,
94192409,1/1/2005
94163677,1/3/2003
94145683,12/5/2009
94119974,1/10/2002
94092230,
94079037,8/17/2010
94068856,11/17/2009
94042337,4/28/2006
94022093,4/28/2006
94004268,10/10/2003
93946239,11/5/2010
93920745,3/30/2003
93912845,10/18/2008
93895605,1/26/2008
93889755,6/27/2002
93882364,
93830681,11/15/2011
93816465,11/17/2009
93747864,1/6/2004
93730409,5/13/2006
93730230,8/28/2012
93717133,11/15/2011
93709215,
93671934,1/12/2003
93599951,1/3/2003
93554166,11/30/2005
93553943,8/3/2002
93543806,
93542102,10/18/2008
93506862,
93504463,11/15/2011
93469007,
93451636,1/24/2012
93431862,1/26/2008
93431518,11/30/2005
93396832,8/16/2011
93382620,7/18/2003
93379652,
93369354,1/9/2009
93353691,1/24/2012
93346024,6/6/2003
93343894,1/10/2002
93294869,5/17/2013
93260132,10/18/2008
93224848,1/4/2006
93221206,6/27/2002
93220472,6/6/2003
93217231,1/26/2008
93211836,
93187568,
93157004,
93151201,9/13/2008
93130021,5/13/2006
93108433,10/20/2002
93108297,9/16/2002
93107608,1/10/2004
93087299,
93023479,11/16/2010
93016201,6/6/2003
93013676,9/16/2002
92933195,
92924317,1/6/2004
92918648,8/28/2012
92901944,11/16/2010
92890308,10/18/2008
92887027,8/5/2012
92854392,1/12/2003
92826944,
92821268,
92784374,
92773018,1/26/2008
92755808,1/11/2004
92736188,5/15/2006
92720564,10/18/2008
92719314,1/26/2008
92676637,2/24/2009
92667214,1/6/2005
92661479,8/5/2012
92609670,
92595643,1/26/2008
92595545,11/15/2011
92572371,5/17/2013
92518817,5/13/2006
92450185,2/24/2009
92421852,6/6/2003
92408984,6/6/2003
92394653,6/6/2003
92377303,4/27/2004
92373006,11/14/2007
92361635,8/2/2011
92346415,
92223641,11/5/2010
92219931,11/30/2005
92142169,
92125819,8/5/2012
92084010,1/10/2004
92065772,
92035412,
92001300,1/4/2006
91998121,10/10/2003
91998120,10/10/2003
91998119,10/10/2003
91996584,9/16/2002
91989718,1/4/2006
91939608,1/3/2004
