missingTCGDateIDs,
100000208,
100000155,
100000150,
100000133,
100000130,
100000077,
99916754,4/19/2011
99789342,10/10/2007
99659159,3/8/2011
99594764,1/25/2011
99518961,7/27/2005
99510761,7/27/2005
99365553,2/7/2012
99342953,2/28/2009
99214782,2/3/2012
99177923,5/19/2009
99150062,5/25/2010
99000151,5/10/2011
98777036,10/18/2011
98555327,3/8/2013
98437424,5/25/2010
98266377,7/31/2008
97896503,7/12/2011
97651498,7/20/2010
97617181,3/8/2013
97439806,7/20/2010
97433739,3/8/2013
96594609,2/8/2013
96565487,11/10/2009
96099959,4/30/2010
95637655,5/28/2012
95621257,11/10/2012
95526884,2/28/2009
95453143,4/5/2009
95443805,11/10/2009
95362816,7/31/2008
94878265,5/2/2009
94766498,7/12/2013
94716515,7/1/2011
94681654,2/28/2009
94622638,4/19/2011
94515289,4/5/2011
94303232,2/28/2009
94243005,2/7/2012
94203886,6/14/2013
94092230,7/24/2012
93882364,8/7/2010
93709215,2/4/2011
93543806,7/12/2013
93506862,12/6/2011
93469007,3/3/2009
93379652,7/24/2012
93211836,7/20/2010
93187568,3/20/2007
93157004,7/24/2012
93087299,6/14/2013
92933195,6/23/2010
92826944,7/31/2008
92821268,7/12/2013
92784374,12/6/2011
92609670,7/12/2013
92346415,3/3/2013
92142169,6/14/2013
92065772,6/23/2010
92035412,7/24/2012
91822647,7/24/2012
91731841,12/6/2011
91711547,8/17/2010
91662792,12/6/2011
91554542,4/19/2011
91438994,4/19/2011
91279700,4/26/2013
91188343,6/14/2011
90960358,10/28/2006
90953320,5/1/2011
90934570,2/1/2013
90727556,12/6/2011
90660762,3/20/2012
90616316,4/19/2011
90330454,1/3/2006
90330453,1/3/2006
90311614,12/7/2010
90156158,4/26/2013
90019393,12/6/2011
89893715,12/6/2011
89609515,4/26/2013
89563150,3/3/2009
89386122,11/10/2009
89333528,7/20/2010
89312388,3/23/2008
89310929,5/25/2010
89211486,5/25/2010
89194103,4/19/2011
89086566,11/10/2009
88958576,12/6/2011
88942504,4/17/2012
88754763,7/12/2013
88671720,3/3/2009
88650530,1/3/2006
88643579,4/25/2010
88559132,3/3/2009
88494899,7/20/2010
88438982,11/10/2009
88361177,4/19/2011
88341502,3/3/2009
88264978,3/30/2010
88190790,3/3/2009
88071625,11/1/2011
87836938,12/6/2011
87649699,4/19/2011
87259077,1/1/2012
86952477,7/12/2011
86915847,3/20/2012
86871614,1/18/2008
86840720,12/7/2010
86223870,5/12/2009
86174055,7/12/2011
86137485,2/23/2010
85876417,11/16/2010
85839825,7/12/2011
85771019,5/15/2010
85754829,6/23/2010
85505315,12/6/2011
85028288,12/7/2010
84932271,2/8/2011
84905691,12/7/2010
84766279,12/6/2011
84488827,12/6/2011
84313685,7/24/2012
83810690,6/1/2010
83544697,12/6/2011
83500096,4/19/2011
83274244,3/8/2013
83021423,3/8/2013
82888408,4/19/2011
82498947,4/19/2011
82422049,12/6/2011
82377606,7/20/2010
82199284,7/20/2010
82052602,3/8/2013
81962318,12/7/2010
81933259,3/20/2012
81846636,4/26/2013
81756897,7/26/2007
81661951,3/8/2011
81587028,7/12/2013
81524977,3/3/2009
81332143,8/1/2006
81278754,3/3/2009
81275309,4/19/2011
81254059,7/20/2010
81218874,7/24/2012
81066751,6/14/2011
81059524,8/20/2005
81020646,3/20/2012
80727721,4/19/2011
80555116,7/20/2010
80549379,3/8/2011
80402389,3/3/2009
80316585,2/26/2005
80304126,8/5/2008
80280737,3/3/2009
80208158,4/26/2013
80159717,4/19/2011
80032567,7/20/2010
79785958,4/26/2013
79544790,11/17/2009
79229522,8/31/2010
79185500,4/26/2013
78700060,3/8/2008
78663366,4/26/2013
78651105,8/30/2011
78486968,4/26/2013
78364470,4/26/2013
78082039,12/7/2010
77841719,4/26/2013
77631175,7/12/2013
77542832,4/26/2013
77372241,7/20/2010
77229910,3/3/2009
77036039,3/3/2009
76908448,7/24/2012
76792184,7/26/2007
76683171,12/7/2010
76650663,7/20/2010
76614340,12/6/2011
76614003,3/3/2009
76442616,10/4/2011
76419637,7/12/2013
76407432,3/3/2009
76384284,3/3/2009
76372778,7/24/2012
76232340,7/25/2004
76214441,3/3/2009
75991898,12/6/2011
75937826,3/3/2009
75886890,7/24/2012
75797045,7/12/2013
75779210,12/6/2011
75775867,3/3/2009
75574498,7/12/2013
75500286,8/18/2007
75498415,3/3/2009
75434695,10/4/2011
75326861,7/5/2011
75198893,3/3/2009
74976215,3/3/2009
74968065,7/31/2008
74852810,7/12/2013
74711057,7/31/2008
74657662,12/6/2011
74509280,2/22/2011
74506079,12/7/2010
74311226,10/16/2012
74064212,7/24/2012
73964868,4/26/2013
73783043,12/7/2010
73551138,7/24/2012
73483491,12/7/2010
73333463,3/3/2009
73199638,10/16/2012
73061465,12/7/2010
73040500,12/7/2010
72845813,12/7/2010
72549351,10/4/2011
72429240,9/28/2012
72328962,12/7/2010
72144675,1/1/2011
72142276,4/26/2013
72056560,7/24/2012
72029628,7/24/2012
71616908,7/24/2012
71594310,5/28/2012
71564252,11/4/2008
71438011,7/20/2010
71315423,7/20/2010
71203602,4/26/2013
71106375,12/7/2010
70969517,6/25/2007
70908596,4/26/2013
70624184,4/26/2013
70342110,12/4/2007
70261145,12/7/2010
70083723,12/7/2010
69461394,7/20/2010
69448290,11/10/2009
69402394,10/18/2011
69123138,7/26/2007
69069911,6/5/2012
69031175,3/3/2009
69000994,2/8/2013
68745629,7/31/2008
68505803,5/11/2010
68319538,3/3/2009
68226653,11/10/2009
68140974,9/1/2011
67985943,7/24/2012
67692580,6/14/2013
67688478,7/26/2007
67559101,7/13/2013
67483216,5/11/2010
67300516,11/28/2008
67196946,3/3/2009
67111213,12/6/2011
66973070,7/15/2007
66865880,7/26/2007
66729231,4/26/2013
66661678,11/16/2010
66506689,4/26/2013
66399675,12/16/2011
66378485,4/19/2011
66094973,8/4/2011
65961683,12/7/2010
65884091,4/26/2013
65758454,6/15/2013
65659181,7/24/2012
65549080,6/23/2010
65393205,7/12/2013
65282484,3/3/2009
65277087,12/6/2011
65156847,4/19/2011
65149697,12/7/2010
64926005,12/7/2010
64681432,11/2/2010
64662453,4/26/2013
64437633,5/25/2012
64428736,7/24/2012
64382839,3/3/2009
64160836,3/3/2009
64034255,4/19/2011
63948258,3/3/2009
63942761,7/24/2012
63630268,7/12/2013
63612442,10/30/2012
63545861,4/26/2013
63519819,10/20/2002
63487632,3/8/2011
63468625,5/1/2011
63253763,3/3/2009
63223260,3/8/2013
63211608,4/19/2011
62729173,7/24/2012
62701967,7/20/2010
62499965,5/10/2011
62379337,3/3/2009
62265044,3/8/2011
62180201,8/31/2010
62107981,7/31/2008
62107612,3/8/2013
62007535,7/24/2012
61831093,10/1/2004
61802346,11/21/2008
61344030,3/8/2013
61049315,7/20/2010
60434101,7/20/2010
60417395,4/9/2011
60222582,3/8/2013
59755122,12/7/2010
59563768,7/12/2011
59482302,11/16/2010
59388357,2/8/2013
59312550,7/20/2010
58820853,5/12/2009
58760121,6/23/2010
58628539,7/12/2011
58494728,12/6/2011
58441120,7/12/2011
58120309,3/9/2010
57793869,8/31/2010
57728571,1/27/2007
57728570,1/27/2007
57666212,6/18/2008
57543573,1/29/2010
57272170,12/6/2011
57238939,4/19/2011
57036718,3/8/2013
56910167,10/12/2012
56768355,7/24/2012
56704140,7/20/2010
56606928,7/1/2011
56570271,3/20/2007
56511382,4/19/2011
56427559,7/12/2013
56410040,3/20/2012
56399890,4/19/2011
56252810,3/3/2009
56074358,3/3/2009
55982698,7/20/2010
55948544,8/1/2006
55824220,7/24/2012
55794644,6/14/2011
55758589,3/20/2012
55713623,10/28/2006
55690251,10/4/2011
55550921,7/12/2013
55343236,2/22/2011
55277252,4/19/2011
55204071,7/12/2013
55136228,3/3/2009
55099248,4/19/2011
55046718,7/24/2012
54977057,6/14/2011
54913680,3/3/2009
54912977,2/18/2006
54860010,7/20/2010
54635862,6/14/2013
54620698,12/6/2011
54582424,7/12/2013
54578613,12/7/2010
54539105,7/31/2008
54455664,9/29/2011
54343893,6/23/2010
54338958,12/6/2011
54326448,8/17/2010
54283059,10/4/2011
54161401,7/20/2010
54048462,7/20/2010
53944920,7/20/2010
53921056,4/19/2010
53714009,11/10/2009
53408006,12/6/2011
53291093,3/3/2009
53199020,4/19/2011
53116300,12/6/2011
53100061,11/10/2009
53063039,2/22/2011
52977572,4/19/2011
52875873,11/10/2009
52786469,12/6/2011
52709508,4/19/2011
52558805,4/17/2012
52265835,11/10/2009
52222372,5/25/2010
52098461,11/10/2009
51858306,2/7/2012
51827737,5/25/2010
51566770,5/19/2009
51402908,7/1/2013
51254980,4/19/2011
51085303,7/31/2008
51043243,11/10/2009
50785356,7/12/2011
50732780,2/23/2010
50287060,7/28/2009
50263751,3/3/2009
50032342,4/19/2011
49980185,3/3/2009
49826746,3/3/2009
49674183,3/20/2012
49633574,12/7/2010
49597193,12/6/2011
49202331,7/12/2013
49003716,3/3/2009
48964966,7/31/2008
48948935,9/12/2007
48642904,4/1/2006
48411996,12/7/2010
48381268,3/3/2009
48370501,12/6/2011
48179391,10/2/2012
47795344,12/7/2010
47664723,5/15/2010
47658964,12/6/2011
47579719,9/28/2013
47506081,7/12/2011
47421985,5/11/2010
47395382,12/7/2010
47355498,7/18/2003
47297616,11/14/2007
47228077,7/24/2012
47111934,12/7/2010
47106439,7/24/2012
46848859,7/31/2008
46833854,12/7/2010
46700124,7/27/2005
46572756,12/7/2010
46337945,12/6/2011
46239604,3/3/2009
46159582,12/6/2011
46044841,7/24/2012
45711266,12/7/2010
45662855,7/24/2012
45458027,4/26/2013
45450218,12/7/2010
45439263,7/24/2012
45298492,3/20/2012
45222299,7/24/2012
45041488,5/12/2009
45037489,10/26/2010
45033006,7/20/2010
44947065,10/27/2009
44910027,7/28/2009
44877690,4/19/2011
44811425,7/20/2010
44689688,12/7/2010
44635489,4/26/2013
44330098,11/21/2008
44155002,4/19/2011
44035031,3/20/2012
43932460,4/19/2011
43925870,6/1/2004
43791861,4/26/2013
43513897,4/26/2013
43366227,3/1/2013
43332022,4/19/2011
43140791,11/17/2009
43114901,4/26/2013
42969214,4/26/2013
42956963,3/3/2009
42679662,4/26/2013
42391240,4/26/2013
42386471,12/1/2004
42110434,4/19/2011
42082363,4/26/2013
42079445,3/3/2009
41978142,7/20/2010
41431329,12/6/2011
41309158,7/12/2013
41269771,4/26/2013
41234315,3/3/2009
41182875,7/26/2007
41147577,12/7/2010
41098335,5/28/2012
41090784,7/20/2010
40921545,4/26/2013
40854197,9/20/2011
40703222,3/3/2009
40619741,12/6/2011
40424929,7/13/2013
40348946,3/3/2009
40225398,3/3/2009
40155554,7/20/2010
40143123,4/26/2013
40048324,3/3/2009
40044918,4/21/2007
40012727,3/3/2009
39987164,7/24/2012
39984786,10/4/2011
39905966,12/6/2011
39761138,4/19/2011
39703254,12/1/2010
39512984,4/26/2013
39477584,12/7/2010
39439590,8/31/2010
39399168,7/12/2013
39284521,3/20/2012
39261576,7/24/2012
39163598,3/3/2009
38981606,3/3/2009
38679204,7/24/2012
38528901,12/7/2010
38495396,4/26/2013
38492752,7/24/2012
38354937,12/7/2010
38273745,4/26/2013
38109772,8/31/2010
